iter	Passed	Remaining
0	132	132406
1	133	66475
2	133	44526
3	134	33520
4	135	26916
5	135	22529
6	136	19386
7	137	17022
8	137	15181
9	138	13707
10	139	12516
11	139	11524
12	140	10672
13	141	9941
14	141	9307
15	142	8752
16	142	8265
17	143	7829
18	144	7437
19	144	7084
20	145	6767
21	145	6476
22	146	6212
23	146	5970
24	147	5747
25	147	5540
26	148	5349
27	148	5171
28	149	5004
29	149	4848
30	150	4703
31	151	4569
32	151	4443
33	152	4323
34	152	4209
35	153	4101
36	153	3999
37	154	3902
38	154	3810
39	155	3722
40	155	3639
41	156	3560
42	156	3492
43	157	3424
44	158	3357
45	158	3291
46	159	3228
47	159	3167
48	160	3109
49	160	3053
50	161	3000
51	161	2948
52	162	2898
53	162	2850
54	163	2805
55	163	2761
56	164	2718
57	164	2677
58	165	2636
59	165	2597
60	166	2559
61	166	2523
62	167	2488
63	167	2453
64	168	2420
65	168	2388
66	169	2358
67	169	2328
68	170	2303
69	171	2276
70	171	2248
71	172	2221
72	172	2194
73	173	2168
74	173	2143
75	174	2119
76	174	2095
77	175	2072
78	175	2050
79	176	2029
80	176	2007
81	177	1986
82	177	1963
83	178	1943
84	178	1923
85	179	1904
86	179	1885
87	180	1867
88	180	1849
89	181	1831
90	181	1816
91	182	1799
92	182	1783
93	183	1767
94	183	1751
95	184	1735
96	185	1723
97	185	1709
98	186	1698
99	187	1685
100	187	1671
101	188	1657
102	188	1644
103	189	1632
104	189	1619
105	190	1606
106	191	1594
107	191	1582
108	192	1570
109	192	1558
110	193	1546
111	193	1535
112	194	1524
113	194	1513
114	195	1502
115	195	1491
116	196	1479
117	196	1469
118	197	1458
119	197	1448
120	198	1438
121	198	1428
122	198	1418
123	199	1408
124	200	1400
125	200	1391
126	200	1381
127	201	1372
128	202	1363
129	202	1355
130	202	1346
131	203	1337
132	203	1329
133	204	1321
134	204	1313
135	205	1305
136	206	1297
137	206	1290
138	207	1282
139	207	1275
140	208	1267
141	208	1259
142	208	1252
143	209	1244
144	209	1237
145	210	1230
146	210	1224
147	211	1217
148	212	1211
149	212	1204
150	213	1198
151	213	1192
152	214	1185
153	214	1179
154	215	1173
155	215	1167
156	216	1160
157	216	1154
158	217	1148
159	217	1142
160	218	1136
161	218	1130
162	219	1125
163	219	1119
164	220	1113
165	220	1108
166	221	1102
167	221	1097
168	222	1091
169	222	1086
170	223	1081
171	223	1076
172	224	1071
173	224	1066
174	225	1061
175	225	1056
176	226	1051
177	226	1046
178	227	1042
179	227	1037
180	228	1032
181	228	1027
182	229	1023
183	229	1018
184	230	1014
185	230	1010
186	231	1005
187	231	1001
188	232	997
189	232	992
190	233	988
191	233	984
192	234	980
193	234	975
194	235	971
195	235	967
196	236	963
197	236	959
198	237	955
199	237	951
200	238	947
201	238	943
202	239	939
203	239	936
204	240	932
205	240	928
206	241	925
207	241	921
208	242	917
209	243	914
210	243	911
211	244	907
212	244	904
213	245	900
214	245	896
215	246	893
216	246	889
217	247	886
218	247	882
219	248	879
220	248	876
221	249	873
222	249	870
223	250	866
224	250	863
225	251	860
226	251	857
227	252	853
228	252	850
229	253	848
230	253	845
231	254	842
232	254	839
233	255	836
234	256	833
235	256	830
236	257	828
237	257	825
238	258	822
239	258	819
240	259	816
241	259	813
242	260	811
243	260	808
244	261	805
245	261	802
246	262	800
247	262	797
248	263	794
249	263	791
250	264	788
251	264	786
252	265	783
253	265	780
254	266	778
255	266	775
256	268	774
257	268	772
258	269	770
259	269	767
260	270	765
261	270	763
262	271	760
263	271	758
264	272	755
265	272	753
266	273	751
267	274	748
268	274	746
269	275	744
270	275	741
271	276	739
272	276	736
273	277	734
274	277	732
275	278	729
276	278	727
277	279	725
278	280	724
279	280	722
280	281	720
281	281	717
282	282	715
283	282	713
284	283	711
285	283	708
286	284	706
287	284	704
288	285	702
289	286	700
290	286	698
291	287	696
292	287	694
293	288	692
294	288	690
295	289	687
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
306	295	666
307	295	664
308	296	662
309	296	660
310	297	658
311	297	656
312	298	654
313	298	652
314	299	650
315	299	648
316	300	647
317	300	645
318	301	643
319	301	641
320	302	639
321	302	637
322	303	635
323	303	633
324	304	632
325	304	630
326	305	628
327	305	626
328	306	624
329	306	623
330	307	621
331	307	619
332	308	617
333	308	616
334	309	614
335	310	612
336	310	611
337	311	609
338	311	607
339	312	605
340	312	604
341	313	602
342	313	600
343	314	598
344	314	597
345	314	595
346	315	593
347	316	592
348	316	590
349	317	588
350	317	587
351	318	585
352	318	583
353	319	582
354	319	580
355	320	578
356	320	577
357	321	575
358	321	574
359	322	572
360	322	571
361	323	569
362	323	567
363	324	566
364	324	564
365	325	563
366	325	561
367	326	560
368	326	558
369	327	557
370	327	555
371	328	553
372	328	552
373	329	551
374	329	549
375	330	548
376	330	546
377	331	545
378	331	543
379	332	542
380	332	540
381	333	539
382	333	538
383	334	536
384	335	535
385	335	533
386	336	532
387	336	530
388	337	529
389	337	527
390	338	526
391	338	525
392	339	523
393	339	522
394	340	520
395	340	519
396	341	518
397	341	516
398	342	515
399	342	513
400	343	512
401	343	511
402	344	509
403	344	508
404	345	506
405	345	505
406	346	504
407	346	502
408	347	501
409	347	500
410	348	498
411	348	497
412	349	496
413	349	494
414	350	493
415	350	492
416	351	490
417	351	489
418	352	488
419	352	486
420	353	485
421	353	484
422	354	483
423	354	481
424	355	480
425	355	479
426	356	477
427	356	476
428	357	475
429	357	474
430	358	472
431	358	471
432	359	470
433	359	469
434	360	467
435	360	466
436	361	465
437	361	464
438	362	462
439	362	461
440	363	460
441	363	459
442	364	457
443	364	456
444	365	455
445	365	454
446	366	453
447	366	451
448	367	450
449	367	449
450	368	448
451	368	447
452	369	445
453	369	444
454	370	443
455	370	442
456	371	441
457	371	440
458	372	438
459	372	437
460	373	436
461	373	435
462	374	434
463	374	433
464	375	431
465	375	430
466	376	429
467	376	428
468	377	427
469	378	426
470	378	425
471	379	424
472	379	423
473	380	422
474	380	420
475	381	419
476	381	418
477	382	417
478	382	416
479	383	415
480	384	414
481	384	413
482	385	412
483	385	411
484	386	410
485	386	409
486	387	407
487	387	406
488	388	405
489	388	404
490	389	403
491	389	402
492	390	401
493	390	400
494	391	399
495	391	398
496	392	397
497	392	395
498	393	394
499	393	393
500	394	392
501	394	391
502	395	390
503	395	389
504	396	388
505	397	387
506	397	386
507	398	385
508	398	384
509	398	383
510	399	382
511	399	381
512	400	380
513	401	379
514	401	378
515	402	377
516	402	376
517	403	375
518	403	374
519	404	373
520	404	371
521	405	370
522	405	369
523	406	368
524	406	367
525	407	366
526	407	365
527	408	364
528	408	364
529	409	363
530	409	361
531	410	361
532	410	359
533	411	358
534	411	357
535	412	356
536	412	355
537	413	354
538	413	353
